127.0.0.1 - - [17/May/2024:10:56:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:27 +0530] "GET /Garage_Management/ HTTP/1.1" 200 24039
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:27 +0530] "GET /Garage_Management/imge/bg-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:27 +0530] "GET /Garage_Management/imge/car-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:27 +0530] "GET /Garage_Management/Homepag.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:27 +0530] "GET /Garage_Management/imge/blackcar@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:27 +0530] "GET /Garage_Management/imge/about@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:29 +0530] "GET /Garage_Management/imge/oil2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:29 +0530] "GET /Garage_Management/imge/tyre%20instalation.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:29 +0530] "GET /Garage_Management/imge/alisa1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:29 +0530] "GET /Garage_Management/imge/devid.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:29 +0530] "GET /Garage_Management/imge/Sam1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:29 +0530] "GET /Garage_Management/imge/Air-conditioning.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:32 +0530] "GET /Garage_Management/Adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:32 +0530] "GET /Garage_Management/Adminlogincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:52 +0530] "POST /Garage_Management/AdminLogin HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:52 +0530] "GET /Garage_Management/PanelCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:52 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:52 +0530] "GET /Garage_Management/imge/carhd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:59 +0530] "GET /Garage_Management/ViewCustomer.jsp HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [17/May/2024:10:56:59 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [17/May/2024:10:57:04 +0530] "GET /Garage_Management/ViewVehicles.jsp HTTP/1.1" 200 5021
0:0:0:0:0:0:0:1 - - [17/May/2024:10:57:04 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [17/May/2024:10:57:13 +0530] "GET /Garage_Management/ViewSpearParts.jsp HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [17/May/2024:10:57:14 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
