127.0.0.1 - - [27/Apr/2024:14:32:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/ HTTP/1.1" 200 23099
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/Homepag.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/img2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/redcaar HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/crosouls HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/about@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/oil3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/img6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/air.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/sam HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/Alisa HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /Car_Garage_Management/imges/Parker HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:50 +0530] "GET /Car_Garage_Management/Adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:50 +0530] "GET /Car_Garage_Management/Adminlogincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:32:51 +0530] "GET /Car_Garage_Management/imges/redcar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:33:07 +0530] "POST /Car_Garage_Management/adminlogin HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [27/Apr/2024:14:33:08 +0530] "GET /Car_Garage_Management/PanelCss.css HTTP/1.1" 304 -
